查询失败片内访存     查询失败片外访存
1.01470		8.33110		
1.01330		8.32470		
1.02620		8.30340		
1.01360		8.33670		
1.01520		8.33540		
1.01750		8.32840		
1.01610		8.32970		
1.01590		8.32130		
1.02230		8.34190		
1.01250		8.34670		
1.01000		8.31370		
1.01740		8.32720		
1.01210		8.32730		
1.01340		8.32820		
1.01770		8.34320		
1.01150		8.35340		
1.02060		8.30290		
1.01200		8.33450		
1.01130		8.34220		
1.00950		8.31580		
1.01560		8.32540		
1.01280		8.33640		
1.01500		8.33790		
1.01330		8.30900		
1.00930		8.33300		
1.00890		8.32240		
1.01780		8.33100		
1.01760		8.31440		
1.01020		8.32530		
1.01210		8.29890		
1.01860		8.33770		
1.01740		8.29670		
1.01830		8.32640		
1.01390		8.32990		
1.03270		8.34090		
1.01340		8.31860		
1.01200		8.31160		
1.01400		8.34120		
1.01060		8.32240		
1.01230		8.33410		
1.01040		8.34390		
1.01330		8.29340		
1.01630		8.31430		
1.01100		8.34720		
1.02100		8.31550		
1.01300		8.32500		
1.01070		8.33930		
1.01460		8.33430		
1.01540		8.31780		
1.01210		8.34360		
1.01600		8.32020		
1.01930		8.30860		
1.02170		8.33400		
1.01500		8.30470		
1.01600		8.32040		
1.02730		8.31560		
1.01840		8.31350		
1.01250		8.30670		
1.01060		8.31200		
1.01330		8.32090		
1.00990		8.31770		
1.01390		8.31970		
1.01770		8.31400		
1.01280		8.32790		
1.02250		8.34350		
1.02500		8.33130		
1.02080		8.31230		
1.01050		8.30090		
1.01550		8.33250		
1.01610		8.32890		
1.01630		8.31780		
1.01630		8.33950		
1.01380		8.32230		
1.01910		8.32860		
1.01500		8.32750		
1.01260		8.30070		
1.01340		8.32160		
1.01390		8.30640		
1.01450		8.29910		
1.01320		8.32420		
1.01470		8.32210		
1.01460		8.33350		
1.01320		8.31020		
1.01370		8.35070		
1.02010		8.32810		
1.01820		8.31990		
1.01550		8.33460		
1.01480		8.32710		
1.01380		8.32600		
1.01110		8.32840		
1.01680		8.29640		
1.01360		8.32340		
1.01150		8.31730		
1.00890		8.30860		
1.01570		8.32820		
1.01620		8.31680		
1.01570		8.35200		
1.01360		8.33210		
1.01140		8.32550		
1.01180		8.32310		
