装载率     冲突率      插入片外访存     插入内片外访存         查询成功片内访存    查询成功片外访存 
0.28099		0.79700		7.46560		6.09280		24.95640		1.04480		
0.28291		0.80780		7.54830		6.15160		25.36590		1.05170		
0.28482		0.80990		7.56480		6.16350		25.21680		1.04780		
0.28671		0.81040		7.56850		6.16560		25.31200		1.05390		
0.28872		0.79930		7.48610		6.11800		25.27420		1.04860		
0.29069		0.80310		7.51210		6.13060		25.13630		1.07260		
0.29259		0.80990		7.56270		6.15370		25.20280		1.04970		
0.29447		0.81220		7.58120		6.16910		25.29100		1.06080		
0.29640		0.80640		7.53380		6.12990		25.44640		1.05520		
0.29827		0.81320		7.58680		6.17470		25.17690		1.05550		
0.30012		0.81540		7.60240		6.17400		25.06420		1.05990		
0.30195		0.81640		7.60500		6.16070		25.53810		1.05600		
